SMILES
C/C=C\C=C\[C@](C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CC/C=C\CCC(=O)OC
C[C@@H]1CC(=O)C(C)(C)C1
CCCCC[C@H](O)/C=C/[C@H]1[C@@H](C/C=C/CCCC(=O)O)C(=O)C[C@@H]1O
CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)OC[C@@H](O)CO
CCOCC(C)(C)[C@H](O)/C=C/C1C(O)CC(=O)C1C/C=C\CCCC(=O)O
CC(C)(C)O[C@H]1CCC(=O)[C@@H]1O
COC(=O)[C@]1(NC(=O)OC(C)(C)C)CCC(=O)C1
CC(=O)CC/C=C(/C)C[C@H]1CC(C)(C)CC1=O
CCCC[C@@](C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@H]1CCCCCCC(=O)OC
CCC[C@]1(C(=O)OCC)CCCC1=O
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCNC(=O)NC(C)=O
C[C@@H]1C[C@](C)(C(=O)O)CC1=O
CCOC(=O)C[C@H]1CC[C@@H](C)C1=O
COC(=O)[C@]1(F)CCCC1=O
CCCCC[C@@H]1C(=O)CC[C@H]1CC(C)=O
CCOC(=O)C(C(=O)OCC)[C@H]1CCC(=O)C1
C[C@H]1CCC(=O)[C@@H]1NC(=O)OC(C)(C)C
CCOC(=O)[C@]1(CC(C)=O)CCCC1=O
COC(=O)[C@@]1(C)CC(=O)[C@@H](C)C1
C#CCCC1(CCC#C)CCC(=O)C1
N[C@@H]1CCCC1=O
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)N[C@H](C(=O)O)[C@@H](C)CC
CCOC(=O)[C@@]1(CC(=O)O)CCCC1=O
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(N)=O
CCCCC[C@H](O)C=C[C@@H]1[C@H](CCCCCCC(=O)O)C(=O)C[C@H]1O
C/C=C(C)/C=C/[C@](C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CC/C=C\CCC(=O)OC
COC(=O)C[C@@H]1CCC(=O)[C@H]1C
C=C(CC)C[C@H]1C(=O)CC[C@H]1C
CC(=O)C[C@H]1CCCC1=O
C=C(CC)C[C@@H]1C(=O)CC[C@H]1C
CC/C=C/C[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C/CCCC(=O)O
CCOC(=O)C[C@H]1CC[C@H](C)C1=O
CCCC[C@@](C)(O)C/C=C/[C@@H]1[C@@H](CCCCCCC(=O)OC)C(=O)C[C@@H]1O
